Frame,GT_1 mm_R1,GT_1 mm_R2,GT_1 mm_R3,GT_1 mm_R4,GT_1 mm_R5,GT_2 mm_R1,GT_2 mm_R2,GT_2 mm_R3,GT_2 mm_R4,GT_2 mm_R5,GT_3 mm_R1,GT_3 mm_R2,GT_3 mm_R3,GT_3 mm_R4,GT_3 mm_R5,GT_4 mm_R1,GT_4 mm_R2,GT_4 mm_R3,GT_4 mm_R4,GT_4 mm_R5,GT_5 mm_R1,GT_5 mm_R2,GT_5 mm_R3,GT_5 mm_R4,GT_5 mm_R5,Ours_1 mm_R1,Ours_1 mm_R2,Ours_1 mm_R3,Ours_1 mm_R4,Ours_1 mm_R5,Ours_2 mm_R1,Ours_2 mm_R2,Ours_2 mm_R3,Ours_2 mm_R4,Ours_2 mm_R5,Ours_3 mm_R1,Ours_3 mm_R2,Ours_3 mm_R3,Ours_3 mm_R4,Ours_3 mm_R5,Ours_4 mm_R1,Ours_4 mm_R2,Ours_4 mm_R3,Ours_4 mm_R4,Ours_4 mm_R5,Ours_5 mm_R1,Ours_5 mm_R2,Ours_5 mm_R3,Ours_5 mm_R4,Ours_5 mm_R5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.006428480621020122,0.005847345621644473,0.0023281321803523608,0.003898053066344673,0.005090518461189534,0.012857790679646697,0.011695875266792565,0.004657650195618862,0.007798131998104764,0.010182937959999538,0.019286998469717084,0.01754462540398301,0.006987009937691712,0.011698045663782807,0.015274934941956112,0.025716391526754142,0.023392995588184112,0.009316327250212015,0.015597909939159573,0.020367004222545185,0.032145615921547153,0.029241548039392253,0.011645827916076582,0.019498163340544186,0.0254592850129239,0.004852241152496244,0.004132496863347728,0.0012679650517720166,0.002227859221994271,0.0033695763377247037,0.010006434350984972,0.009357789905754485,0.0028567678886496244,0.005107936805933489,0.007172402221649132,0.014055541843039317,0.010881113237110072,0.004193264977562166,0.0069114224852117505,0.008955552937891327,0.019956465742865713,0.01675491402992963,0.0053470338978821004,0.009270468240096972,0.013374846242589018,0.025649459027108506,0.022765736100393074,0.00928868410466228,0.015630428753183316,0.018044435111450898
2,0.012857790679646697,0.011695875266792565,0.004657650195618862,0.007798131998104764,0.010182937959999538,0.025716391526754142,0.023392995588184112,0.009316327250212015,0.015597909939159573,0.020367004222545185,0.038574844237104944,0.03509010676252356,0.013975085481520771,0.023398105487115364,0.03055135942031335,0.051433429506953024,0.04678701173295574,0.0186338967342687,0.03119797959150138,0.04073558458832305,0.06429191022905634,0.058483982762385735,0.023292573966811853,0.03899817803363311,0.05091968411398429,0.010649286476190312,0.009082925948225157,0.0027893520746714944,0.004900992283286372,0.007392743656487722,0.021944444444244985,0.020531401794452914,0.00627613290406146,0.011251332900460468,0.015748381322962274,0.0308576333931592,0.02391844334280468,0.00920018622824528,0.01517001489148276,0.019649431489684187,0.043917370238913074,0.03682216047954634,0.011728029165302791,0.020405656495774284,0.02942591228666868,0.056502190879877796,0.050197333598712965,0.020419933751517707,0.034260293140724464,0.03967315453714034
3,0.019286998469717084,0.01754462540398301,0.006987009937691712,0.011698045663782807,0.015274934941956112,0.038574844237104944,0.03509010676252356,0.013975085481520771,0.023398105487115364,0.03055135942031335,0.05786265646584371,0.052635546178657754,0.020963120832132972,0.03509805236162396,0.04582773474295234,0.07715054824737798,0.07018102211752375,0.0279512555124865,0.04679801422915438,0.06110382953308694,0.09643827031679544,0.08772661168282699,0.03493950132766071,0.05849798692848824,0.07638023763549551,0.015458191172374392,0.013205943639017451,0.004058674495967074,0.0071181425868838645,0.010740571043147202,0.031830290687040366,0.029782646946235187,0.009112315715966574,0.016381709259604083,0.022867008396955935,0.04479810761234899,0.03478844886230636,0.013356294961373624,0.022053880327377175,0.028536291618185723,0.06391522703738539,0.05357550912453696,0.017015707635050475,0.029682722681851598,0.042773467647502283,0.08218615520697878,0.07308778167323772,0.029633266376737556,0.049664952426702935,0.057686711836104215
4,0.025716391526754142,0.023392995588184112,0.009316327250212015,0.015597909939159573,0.020367004222545185,0.051433429506953024,0.04678701173295574,0.0186338967342687,0.03119797959150138,0.04073558458832305,0.07715054824737798,0.07018102211752375,0.0279512555124865,0.04679801422915438,0.06110382953308694,0.1028674405412938,0.09357498308045194,0.0372687129280061,0.062397783830738754,0.0814723275727391,0.12858448820353108,0.116969063383871,0.046585969287070664,0.07799717167616302,0.10184064240702824,0.02121255599677759,0.01814413563479994,0.005581883547986201,0.009766850070559953,0.014754423265339989,0.043611897203504425,0.04083163120008623,0.012504816049996268,0.0225452792368387,0.03137320222626368,0.06145240489829769,0.04779949386824875,0.018323089419454174,0.030291895652605594,0.03916499814988737,0.08783903822287693,0.07373468431063546,0.0233405980686918,0.04079630248860529,0.05878015868497404,0.1130640048658751,0.10041406843626893,0.040617544779449614,0.06797131050502356,0.07926452078628173
5,0.032145615921547153,0.029241548039392253,0.011645827916076582,0.019498163340544186,0.0254592850129239,0.06429191022905634,0.058483982762385735,0.023292573966811853,0.03899817803363311,0.05091968411398429,0.09643827031679544,0.08772661168282699,0.03493950132766071,0.05849798692848824,0.07638023763549551,0.12858448820353108,0.116969063383871,0.046585969287070664,0.07799717167616302,0.10184064240702824,0.160730759358228,0.14621154486200214,0.05823295792947103,0.09749715460044824,0.12730105865375105,0.026948163455736286,0.023068565852529716,0.007105135220315689,0.012402327427324783,0.018742773222782352,0.05530295207014933,0.05182975657812447,0.01588121374025946,0.028699927646453814,0.039842491008509104,0.07805059472508039,0.0607532028482327,0.023270529711179218,0.03853652045175014,0.0497454632380312,0.11163633276312693,0.09389706622818471,0.02965945696240881,0.0519144263503213,0.07475192461305097,0.14399068126850897,0.12767481650852228,0.0515625680243155,0.0861037915450179,0.1008888248222198
6,0.038574844237104944,0.03509010676252356,0.013975085481520771,0.023398105487115364,0.03055135942031335,0.07715054824737798,0.07018102211752375,0.0279512555124865,0.04679801422915438,0.06110382953308694,0.11572615508296048,0.10527207347319581,0.0419277277704805,0.07019748095583228,0.09165657477995633,0.15430159201225238,0.14036296266969553,0.055903642291529186,0.09359740319593095,0.12220894898600822,0.19287708266663037,0.17545394165129916,0.06987973339631467,0.11699712485264203,0.15276153233984194,0.031715481891542295,0.02715396118790227,0.008374918993979864,0.014589204281094911,0.022044142762187715,0.06497932276108481,0.06092399939054467,0.018691311158003942,0.033809379741788215,0.046861871244891246,0.09182670792785724,0.07151350258957753,0.027377891347312684,0.045403029204025475,0.0585329041768033,0.13136285771573958,0.11075792172089845,0.034906517987671803,0.06121842731349085,0.08797620757263619,0.16987407114221728,0.1503791761801886,0.0606361090279303,0.10114979800221717,0.11891120973720756
7,0.04500402926681063,0.04093849702327455,0.01630429388665817,0.02729794429245721,0.03564348783879945,0.09000904470505906,0.0818781085690511,0.032610113634373654,0.05459776194419891,0.07128817772639814,0.13501380172646954,0.12281749924107381,0.0489154432640413,0.08189726421342201,0.1069327316900108,0.18001859432218623,0.16375690267359203,0.06522081717227866,0.10919700934186981,0.14257733839715195,0.22502338737304442,0.20469636993878487,0.08152662189179637,0.1364966964351557,0.1782219059549743,0.03742578468264703,0.03203747230851466,0.00989788910125955,0.01720439645996818,0.02597813889603973,0.07653573239036879,0.07176037481246438,0.022025610191210555,0.03994972368448346,0.05523797285858888,0.1082619478871698,0.0843652752417882,0.03228332205629355,0.05362402956848443,0.06904985117827947,0.15492779196366235,0.1308885728912027,0.0411529247474887,0.07237933443890743,0.10379989245872562,0.20102660822858232,0.1775625948631418,0.0714655918332515,0.11907220741307563,0.1405021853857456
8,0.051433429506953024,0.04678701173295574,0.0186338967342687,0.03119797959150138,0.04073558458832305,0.1028674405412938,0.09357498308045194,0.0372687129280061,0.062397783830738754,0.0814723275727391,0.15430159201225238,0.14036296266969553,0.055903642291529186,0.09359740319593095,0.12220894898600822,0.20573573599870404,0.18715094702296312,0.07453861179653479,0.12479694330764492,0.1629457308485318,0.25716970017870616,0.23393880553917262,0.09317331012094483,0.1559963366706202,0.20368244144151446,0.0431243162926972,0.036910394240161494,0.011412052964754001,0.01981094239518789,0.02989042925296988,0.08801714900999122,0.0825310400121629,0.025339733699215224,0.04609275004559695,0.06356434609597503,0.12461811850740011,0.09718059048358489,0.03716243781906309,0.061825106325980726,0.07955480293579052,0.17845046832051617,0.15092362011475433,0.04735189657243853,0.08351561758993269,0.11959367077152033,0.23217357115344497,0.20465704948679025,0.08229725281469985,0.13694489822535413,0.1620940904317025
9,0.05786265646584371,0.052635546178657754,0.020963120832132972,0.03509805236162396,0.04582773474295234,0.11572615508296048,0.10527207347319581,0.0419277277704805,0.07019748095583228,0.09165657477995633,0.17358928421954165,0.15790844401318102,0.06289154370042586,0.10529732480761637,0.13748526044552378,0.2314526268691956,0.2105448700368099,0.08385571583387308,0.1403967641477207,0.18331396477668255,0.28931593693184543,0.26318121494383345,0.10482016802573861,0.1754961771354721,0.22914283278569042,0.04787614435797031,0.04098202225480822,0.012671882141253239,0.02198192921501058,0.0331386310307961,0.09753742885342291,0.09145765935347375,0.02808264356928433,0.051199668090464945,0.07049065930378828,0.13820822586180773,0.10785410394287984,0.04120706972927922,0.0686410669770803,0.08828966836758316,0.19798770573892366,0.16759722894390977,0.05250287427867395,0.09280562487298963,0.1327416456093929,0.25803603045037893,0.22712859687014839,0.09124713164128066,0.15180123840464022,0.18005409265185263
