Frame,GT_1 mm_R1,GT_1 mm_R2,GT_1 mm_R3,GT_1 mm_R4,GT_1 mm_R5,GT_2 mm_R1,GT_2 mm_R2,GT_2 mm_R3,GT_2 mm_R4,GT_2 mm_R5,GT_3 mm_R1,GT_3 mm_R2,GT_3 mm_R3,GT_3 mm_R4,GT_3 mm_R5,GT_4 mm_R1,GT_4 mm_R2,GT_4 mm_R3,GT_4 mm_R4,GT_4 mm_R5,GT_5 mm_R1,GT_5 mm_R2,GT_5 mm_R3,GT_5 mm_R4,GT_5 mm_R5,Ours_1 mm_R1,Ours_1 mm_R2,Ours_1 mm_R3,Ours_1 mm_R4,Ours_1 mm_R5,Ours_2 mm_R1,Ours_2 mm_R2,Ours_2 mm_R3,Ours_2 mm_R4,Ours_2 mm_R5,Ours_3 mm_R1,Ours_3 mm_R2,Ours_3 mm_R3,Ours_3 mm_R4,Ours_3 mm_R5,Ours_4 mm_R1,Ours_4 mm_R2,Ours_4 mm_R3,Ours_4 mm_R4,Ours_4 mm_R5,Ours_5 mm_R1,Ours_5 mm_R2,Ours_5 mm_R3,Ours_5 mm_R4,Ours_5 mm_R5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00643227887444253,0.006010076773277456,0.0018973989485130652,0.00374878979086474,0.005162408953986841,0.012864862680968179,0.01202181888571115,0.0037962868605530254,0.007500206190532542,0.010326820412883912,0.01929767250238764,0.018034223080691306,0.005694953881348658,0.011249134598793578,0.015489560832981577,0.02572981384124993,0.024046247744081838,0.007593998139321721,0.015000557483006662,0.020652620710435058,0.032164412795128744,0.03005798115050517,0.009491700881127725,0.01875105431531672,0.025816779512323935,0.0048016822678125515,0.004200836482976521,0.0009923545151113058,0.0021091678008875827,0.003418050065858599,0.010148660862604774,0.009595459669004505,0.001907002732646703,0.004818456457542703,0.007033199097824176,0.014317924851797736,0.01077344976028422,0.003324895538756796,0.0068196347339652885,0.008653223806613156,0.02014128395983186,0.017198571033488014,0.004817088653024166,0.008555718352979894,0.012105862381366954,0.025606380435514692,0.023472149132073114,0.007467853170639846,0.015887254743930965,0.017151978310134878
2,0.012864862680968179,0.01202181888571115,0.0037962868605530254,0.007500206190532542,0.010326820412883912,0.02572981384124993,0.024046247744081838,0.007593998139321721,0.015000557483006662,0.020652620710435058,0.03859598867988129,0.03606976525047467,0.011392948338623223,0.022499981258643442,0.030979992344780452,0.051462492668416536,0.04809396161791343,0.015191305954742823,0.030001181219996717,0.04130682246386978,0.06432762466172773,0.06011641514128122,0.018986219590076268,0.037500608753859736,0.05163411340938214,0.010525163256016901,0.009168679807528416,0.002176684363954901,0.004629567161348042,0.0074900820135785345,0.022180178233099278,0.020978948028984545,0.004275480937151724,0.010582676748447123,0.015405856151288307,0.03143130116211215,0.023596724873423534,0.007284974206345421,0.014949464486797901,0.01897675745731533,0.04445753397968676,0.03809073198234994,0.010536161581676503,0.01901467668092607,0.026611545972307533,0.05644959770819006,0.05157608745719195,0.0163565491779703,0.034744889428762464,0.03779222135585703
3,0.01929767250238764,0.018034223080691306,0.005694953881348658,0.011249134598793578,0.015489560832981577,0.03859598867988129,0.03606976525047467,0.011392948338623223,0.022499981258643442,0.030979992344780452,0.057894466656288265,0.05410488870492248,0.017088999633204184,0.03375092904087361,0.04647074894721248,0.07719385913556587,0.07213917245531909,0.022785073320442037,0.04500175065151653,0.06196003430413021,0.09649245841984488,0.09017548499228034,0.028481154544106532,0.056250957731957936,0.07745104059854624,0.015312242398794024,0.013241559140723513,0.003165528159686312,0.006720668277300045,0.010916312247814225,0.03215084787846353,0.030361315953940086,0.006310301727661773,0.015377732787359811,0.022477815225430686,0.045664369373555065,0.03419592390895278,0.010561300963800266,0.02183721849732851,0.027530240235649532,0.06455320243812511,0.05544985888701259,0.015242208136701171,0.027892851044038523,0.03940103223788971,0.08234446539359999,0.07592017365505141,0.023701326299948103,0.050301920654085355,0.05542758146290156
4,0.02572981384124993,0.024046247744081838,0.007593998139321721,0.015000557483006662,0.020652620710435058,0.051462492668416536,0.04809396161791343,0.015191305954742823,0.030001181219996717,0.04130682246386978,0.07719385913556587,0.07213917245531909,0.022785073320442037,0.04500175065151653,0.06196003430413021,0.10292506785230962,0.09618793607765821,0.030380911729927542,0.06000239000451039,0.08261505606459493,0.12865550585477778,0.12023420053861092,0.03797741102964124,0.07500213385942052,0.1032690762862182,0.021012966399915275,0.018095987666706982,0.004354213505362697,0.009219471704012806,0.01494555337946332,0.04411724432091409,0.04155711946448354,0.008741096679482599,0.021230793729586066,0.030791740381671255,0.06260484846646279,0.04683089275390949,0.014484050938029087,0.030439324451433082,0.03808354903705677,0.08870974361995701,0.07693314846754326,0.020820110516973796,0.03828539447473461,0.054038632334528616,0.11335422747693898,0.10436697740784381,0.03244775750192783,0.0687277535446634,0.07640997736620016
5,0.032164412795128744,0.03005798115050517,0.009491700881127725,0.01875105431531672,0.025816779512323935,0.06432762466172773,0.06011641514128122,0.018986219590076268,0.037500608753859736,0.05163411340938214,0.09649245841984488,0.09017548499228034,0.028481154544106532,0.056250957731957936,0.07745104059854624,0.12865550585477778,0.12023420053861092,0.03797741102964124,0.07500213385942052,0.1032690762862182,0.16082091726024095,0.15029262577440483,0.04747036412239295,0.09375335447382366,0.1290860113766477,0.0266944129353372,0.022941362852048824,0.005537133223296001,0.011707341945166557,0.01897707513000901,0.05607296374712419,0.052594080895401754,0.011177431797398985,0.02696121031614679,0.039117013880588754,0.07928262765009043,0.05936448997129172,0.018329148247780848,0.03863794474800921,0.04831714504391599,0.11310135573001419,0.09753425761116577,0.026305049178359994,0.04915058874856125,0.06880053095257799,0.1446668129016272,0.13280277557994652,0.04112642266530881,0.08718871337960216,0.09726214319300013
6,0.03859598867988129,0.03606976525047467,0.011392948338623223,0.022499981258643442,0.030979992344780452,0.07719385913556587,0.07213917245531909,0.022785073320442037,0.04500175065151653,0.06196003430413021,0.11579128257762068,0.10821084456592323,0.034180403736315985,0.0675018743533883,0.09294136871179393,0.1543881498979348,0.14428127877848276,0.04557128256149958,0.09000371958491116,0.1239233313002696,0.1929840848817544,0.1803512650060614,0.05696382293408126,0.11250543930459633,0.1549039218458428,0.03155212565216394,0.02706966459975337,0.006511630061985598,0.01378836555664604,0.022327061938861865,0.06592399891927546,0.06169072422453139,0.013197757467640455,0.03179344495740433,0.046020438181094026,0.09330434787571548,0.06973031930462481,0.021543787286885684,0.04546919193936133,0.05679372511643013,0.13312215841369993,0.11453598950770494,0.030812581567262118,0.05862690626037113,0.0815315817593396,0.17015508093699785,0.1557479034513264,0.04830059785367038,0.10244652440208314,0.11453354225997689
7,0.045029854050475854,0.042081136845638134,0.013289938243361492,0.026251372679299258,0.036143680989361285,0.09005966030866694,0.08416355148202004,0.02658221321211734,0.05250208605563324,0.07228797125891662,0.13508928157948497,0.12624492249035404,0.03987495607212502,0.0787510565043966,0.10843275472103187,0.18011882531541523,0.16832775092323637,0.053169361876107595,0.10500516481312228,0.1445767413185291,0.22514964484045177,0.21040954442300808,0.06645872796411441,0.1312540403116405,0.18072099430918248,0.037400306736029475,0.03217996918928598,0.007674644431009342,0.0162852224866563,0.026321582840350133,0.07762011968355552,0.07331098945435587,0.015608332742143967,0.03765286478372558,0.05421708986665807,0.11004480290314601,0.08207874404161626,0.02540480524728153,0.05402265038063303,0.06696283956841062,0.15694736673633958,0.13493774564416786,0.03615514353038922,0.06912378958171025,0.0961867490680645,0.2012256177270042,0.1837915813711398,0.05684230816723702,0.12022700078624053,0.13602243038408
8,0.051462492668416536,0.04809396161791343,0.015191305954742823,0.030001181219996717,0.04130682246386978,0.10292506785230962,0.09618793607765821,0.030380911729927542,0.06000239000451039,0.08261505606459493,0.1543881498979348,0.14428127877848276,0.04557128256149958,0.09000371958491116,0.1239233313002696,0.20585132030010964,0.19237505582144138,0.060761823459855084,0.12000326556838621,0.16523145867558486,0.2573135994095204,0.2404688646472894,0.07595304751951104,0.15000695112282558,0.20653754532427795,0.04309180759950039,0.03744241414564947,0.008762857720183228,0.018786327646420024,0.030292815131104746,0.08959295495659397,0.08441751917401932,0.01800294913866192,0.04331129647887902,0.062402193277740985,0.12672783125254072,0.09450266296380948,0.029273739829248954,0.06269722799578238,0.0770248986618973,0.18074653623257794,0.15502428999463821,0.041422483352244216,0.07884546237729023,0.1104921763445435,0.23224269828756666,0.2118727851348876,0.06529905277522509,0.1377602847361168,0.15795390163093365
9,0.057894466656288265,0.05410488870492248,0.017088999633204184,0.03375092904087361,0.04647074894721248,0.11579128257762068,0.10821084456592323,0.034180403736315985,0.0675018743533883,0.09294136871179393,0.17368610476908433,0.1623159531343952,0.051268060662869305,0.10125368760682482,0.1394138152535589,0.23158221026324471,0.21642030653958783,0.06835680867515519,0.13500461661759425,0.18588474976668234,0.2894778775356177,0.27052789768392627,0.08544795254758725,0.16875723888866886,0.23235492424409565,0.047825696013358183,0.041911959333638955,0.009644293295469664,0.02086281324468032,0.033584048054430445,0.09945354737009676,0.0931801366081557,0.019986973952673587,0.04823788798271575,0.06946999907381127,0.14108733199335305,0.10543395728232455,0.0325046741685137,0.06962744377558866,0.08535488795840765,0.20022164318985217,0.17205118112821258,0.04573859113570624,0.08782058573331472,0.1223197118022761,0.2589606328861726,0.23666186561753652,0.0722889909283193,0.15291409571015402,0.17577029336876032
