Frame,GT_0.25_R1,GT_0.25_R2,GT_0.25_R3,GT_0.25_R4,GT_0.25_R5,GT_0.50_R1,GT_0.50_R2,GT_0.50_R3,GT_0.50_R4,GT_0.50_R5,GT_0.75_R1,GT_0.75_R2,GT_0.75_R3,GT_0.75_R4,GT_0.75_R5,GT_1.00_R1,GT_1.00_R2,GT_1.00_R3,GT_1.00_R4,GT_1.00_R5,GT_1.25_R1,GT_1.25_R2,GT_1.25_R3,GT_1.25_R4,GT_1.25_R5,Ours_0.25_R1,Ours_0.25_R2,Ours_0.25_R3,Ours_0.25_R4,Ours_0.25_R5,Ours_0.50_R1,Ours_0.50_R2,Ours_0.50_R3,Ours_0.50_R4,Ours_0.50_R5,Ours_0.75_R1,Ours_0.75_R2,Ours_0.75_R3,Ours_0.75_R4,Ours_0.75_R5,Ours_1.00_R1,Ours_1.00_R2,Ours_1.00_R3,Ours_1.00_R4,Ours_1.00_R5,Ours_1.25_R1,Ours_1.25_R2,Ours_1.25_R3,Ours_1.25_R4,Ours_1.25_R5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00018583404,0.00016733384,6.7877896e-05,0.00011737477,0.00014262243,0.0003716941,0.0003347018,0.00013579706,0.00023481033,0.00028529306,0.00055755215,0.00050206674,0.00020371198,0.0003522453,0.0004279603,0.0007434114,0.00066943205,0.0002716295,0.00046967232,0.00057062873,0.0009292685,0.0008367969,0.00033954595,0.0005871136,0.0007132954,0.0001392262386702401,0.00011857448476246452,3.638195204554412e-05,6.39243702068474e-05,9.66838672419046e-05,0.0002871164423622288,0.00026850476921871116,8.196976106309017e-05,0.0001465629606000812,0.00020579904257985146,0.0004032982207143202,0.0003122137628646989,0.00012031811532559251,0.0001983107034945951,0.00025696331067827995,0.0005726145043515213,0.00048075179825517606,0.00015342341698359633,0.0002659992327703298,0.00038376689793962246,0.0007359645969849635,0.0006532214101078684,0.00026652190388824196,0.000448486737512902,0.0005177522613862847
2,0.0003716941,0.0003347018,0.00013579706,0.00023481033,0.00028529306,0.0007434114,0.00066943205,0.0002716295,0.00046967232,0.00057062873,0.0011151257,0.0010041627,0.00040746504,0.0007045449,0.0008559623,0.0014868419,0.0013388913,0.0005432984,0.00093940983,0.0011412961,0.0018585557,0.0016736214,0.00067913136,0.0011742683,0.0014266269,0.00030556191541285526,0.000260618047650238,8.003538684052314e-05,0.00014062506374045296,0.0002121213394797075,0.0006296559391135169,0.0005891112491386648,0.00018008222389719408,0.0003228365430584493,0.00045187117206916145,0.0008854036921443135,0.0006862962488483856,0.0002639826182104259,0.000435275998767316,0.0005638047146337538,0.0012601290987993494,0.0010565449535915594,0.00033651447576136254,0.0005855032163935309,0.0008443230578112645,0.001621227648338613,0.001440321230660327,0.000585912876291549,0.0009830368276871385,0.001138349045069127
3,0.00055755215,0.00050206674,0.00020371198,0.0003522453,0.0004279603,0.0011151257,0.0010041627,0.00040746504,0.0007045449,0.0008559623,0.0016726989,0.0015062551,0.0006112117,0.0010568372,0.0012839629,0.0022302708,0.002008349,0.000814959,0.0014091328,0.0017119588,0.0027878436,0.002510441,0.001018707,0.001761432,0.0021399602,0.00044354469325334333,0.00037892054478902063,0.00011645628613689669,0.00020424216100233485,0.00030818116010960963,0.0009133123249361074,0.0008545589103366903,0.0002614613336060328,0.00047004336584359106,0.0006561272345483318,0.0012854002565810905,0.0009981912959497441,0.0003832346026507116,0.0006327960028294789,0.0008187970100276611,0.001833931244244046,0.0015372518359717242,0.00048823479664068445,0.0008516917652289374,0.0012273068935127608,0.002358182312177461,0.0020971210241440023,0.0008502727064634814,0.001425045520779403,0.0016552153237608539
4,0.0007434114,0.00066943205,0.0002716295,0.00046967232,0.00057062873,0.0014868419,0.0013388913,0.0005432984,0.00093940983,0.0011412961,0.0022302708,0.002008349,0.000814959,0.0014091328,0.0017119588,0.0029737009,0.0026778067,0.0010866242,0.0018788623,0.0022826248,0.0037171296,0.0033472646,0.0013582852,0.002348591,0.0028532874,0.000608655730660426,0.0005206129866518045,0.00016016200074508042,0.0002802420069910743,0.00042335135258584174,0.0012513641053873371,0.0011715894268432751,0.00035880296324690484,0.0006468958011908586,0.0009001970025245721,0.001763265040285371,0.0013715195787814113,0.0005257477401708863,0.0008691708761700789,0.0011237684213470157,0.002520381513579785,0.0021156827192783025,0.0006697160292097299,0.0011705757336936617,0.0016865897932419624,0.003244166073314654,0.0028811991445984973,0.0011654466062045526,0.0019503131855334412,0.0022743513239023025
5,0.0009292685,0.0008367969,0.00033954595,0.0005871136,0.0007132954,0.0018585557,0.0016736214,0.00067913136,0.0011742683,0.0014266269,0.0027878436,0.002510441,0.001018707,0.001761432,0.0021399602,0.0037171296,0.0033472646,0.0013582852,0.002348591,0.0028532874,0.0046464163,0.004184086,0.0016978624,0.0029357504,0.0035666167,0.0007732285595662975,0.0006619105593117857,0.0002038689382655877,0.00035586223853999215,0.0005377898039372643,0.0015868176708666618,0.0014871606403680266,0.00045568255679892674,0.0008234922483743749,0.0011432078472674132,0.002239519922450234,0.0017432027085830418,0.0006677055450726711,0.0011057353963489155,0.0014273556321446963,0.0032032016177830484,0.0026942056139141373,0.0008510241977057713,0.0014895900855546004,0.0021448705804496767,0.004131550829098125,0.0036633967514681127,0.0014794941505556997,0.002470591764774935,0.0028948214160032485
6,0.0011151257,0.0010041627,0.00040746504,0.0007045449,0.0008559623,0.0022302708,0.002008349,0.000814959,0.0014091328,0.0017119588,0.003345415,0.0030125366,0.0012224552,0.0021137292,0.0025679567,0.004460559,0.0040167198,0.0016299497,0.002818318,0.0034239527,0.005575701,0.005020906,0.002037442,0.0035229065,0.0042799464,0.0009100180952675685,0.0007791335513578936,0.00024030307522945603,0.0004186106941951256,0.0006325166010989121,0.0018644635365476843,0.0017481034048626872,0.0005363131935446387,0.0009700986874490735,0.0013446162021685173,0.0026348004463234835,0.002051949947821366,0.000785558820185165,0.0013027573819284577,0.0016794952746298436,0.0037692183891823794,0.003177997209846119,0.001001579074856664,0.001756551478852208,0.0025243173387021617,0.004874227646448369,0.004314857076533816,0.0017398429142818366,0.002902309566963379,0.003411940987088492
7,0.0013009822,0.0011715251,0.00047538118,0.00082197407,0.0009986302,0.002601986,0.0023430788,0.0009507913,0.0016440012,0.0019972932,0.0039029869,0.0035146284,0.001426202,0.0024660223,0.002995955,0.0052039884,0.0046861786,0.0019016096,0.00328804,0.0039946153,0.0065049897,0.0058577266,0.002377021,0.004110061,0.0049932743,0.0010738648527323508,0.0009192570249155445,0.00028400193375273435,0.0004936488794421718,0.0007453954682957143,0.0021960537017211568,0.002059033497452244,0.0006319848426662728,0.001146284693959333,0.0015849532105208144,0.003106379778278314,0.0024207082000141365,0.0009263112364820231,0.001538644041902368,0.001981259949404202,0.004445371337220003,0.0037556096483751206,0.0011808083610858264,0.0020767934186865936,0.002978349209616076,0.00576809306394487,0.005094835857159525,0.0020505752357686297,0.003416560522709517,0.0040314547817028095
8,0.0014868419,0.0013388913,0.0005432984,0.00093940983,0.0011412961,0.0029737009,0.0026778067,0.0010866242,0.0018788623,0.0022826248,0.004460559,0.0040167198,0.0016299497,0.002818318,0.0034239527,0.0059474176,0.0053556347,0.002173273,0.0037577667,0.0045652767,0.0074342764,0.0066945474,0.0027165986,0.004697223,0.005706606,0.0012373738575563577,0.0010590766609465947,0.0003274481131200313,0.0005684389764461407,0.0008576515276840687,0.0025254920788169975,0.002368078154673995,0.0007270775917706193,0.0013225476675895627,0.0018238633535192607,0.003575690359293407,0.0027884203730933433,0.0010663085932369758,0.0017739590301948881,0.0022826804424599056,0.0051203117718967356,0.004330478905456606,0.0013586765880939907,0.002396328818341324,0.0034315229657783776,0.0066617985410106885,0.005872261975836957,0.0023613700560595452,0.003929384893656036,0.004650995243686451
9,0.0016726989,0.0015062551,0.0006112117,0.0010568372,0.0012839629,0.003345415,0.0030125366,0.0012224552,0.0021137292,0.0025679567,0.0050181304,0.0045188135,0.0018336942,0.0031706102,0.0038519504,0.0066908463,0.0060250913,0.002444937,0.004227494,0.0051359413,0.008363563,0.0075313686,0.003056178,0.0052843792,0.0064199367,0.001373718925236126,0.0011759046247529711,0.0003635966210153528,0.0006307314964646648,0.0009508527725842895,0.002798659201396469,0.002624211268398641,0.0008057804039803418,0.0014690813966929408,0.002022601319228106,0.003965633783499672,0.003094677437742598,0.0011823619529046678,0.0019695306299058303,0.002533311526352666,0.005680897281620007,0.0048088977987855094,0.0015064745290814202,0.002662888688428109,0.0038087802012037497,0.007403874793511429,0.006517042175534061,0.0026181705584291015,0.00435566056680626,0.0051663248567528335
