Frame,GT_0.25_R1,GT_0.25_R2,GT_0.25_R3,GT_0.25_R4,GT_0.25_R5,GT_0.50_R1,GT_0.50_R2,GT_0.50_R3,GT_0.50_R4,GT_0.50_R5,GT_0.75_R1,GT_0.75_R2,GT_0.75_R3,GT_0.75_R4,GT_0.75_R5,GT_1.00_R1,GT_1.00_R2,GT_1.00_R3,GT_1.00_R4,GT_1.00_R5,GT_1.25_R1,GT_1.25_R2,GT_1.25_R3,GT_1.25_R4,GT_1.25_R5,Ours_0.25_R1,Ours_0.25_R2,Ours_0.25_R3,Ours_0.25_R4,Ours_0.25_R5,Ours_0.50_R1,Ours_0.50_R2,Ours_0.50_R3,Ours_0.50_R4,Ours_0.50_R5,Ours_0.75_R1,Ours_0.75_R2,Ours_0.75_R3,Ours_0.75_R4,Ours_0.75_R5,Ours_1.00_R1,Ours_1.00_R2,Ours_1.00_R3,Ours_1.00_R4,Ours_1.00_R5,Ours_1.25_R1,Ours_1.25_R2,Ours_1.25_R3,Ours_1.25_R4,Ours_1.25_R5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0001875082,0.00017248763,6.0327307e-05,0.000117484386,0.00014690211,0.00037511665,0.00034514753,0.000120590244,0.00023521204,0.00029367933,0.0005626231,0.000517737,0.00018092665,0.00035269294,0.0004405372,0.00075016194,0.00069035694,0.00024127186,0.000470326,0.00058740814,0.00093775697,0.0008629313,0.0003015504,0.0005877663,0.00073418097,0.0001377755433884832,0.00012053536590873176,2.8473808746150104e-05,6.051873565494379e-05,9.8074732747205e-05,0.0002911973735504545,0.0002753242710000527,5.471797655062557e-05,0.0001382568482679137,0.00020180486200798816,0.00041082682414773003,0.0003091245551255261,9.540183294361285e-05,0.00019567702083942237,0.00024828852587978605,0.0005779175270944655,0.0004934817294197401,0.0001382176016038739,0.0002454907841492023,0.00034735571300906833,0.0007347285351145157,0.0006734906478183349,0.00021427647044189587,0.00045585589241695226,0.0004921448359270243
2,0.00037511665,0.00034514753,0.000120590244,0.00023521204,0.00029367933,0.00075016194,0.00069035694,0.00024127186,0.000470326,0.00058740814,0.001125291,0.0010355706,0.00036188678,0.0007054483,0.0008810631,0.0015003601,0.0013806934,0.00048258147,0.00094070716,0.0011748403,0.001875453,0.0017258881,0.00060315273,0.0011759225,0.0014685931,0.0003020004252615481,0.00026307859874550004,6.245600068946683e-05,0.0001328370133075836,0.00021491428667878116,0.0006364198916291051,0.0006019527747155237,0.00012267715282034478,0.0003036506703693639,0.0004420430349664721,0.0009018640458669594,0.000677065122242149,0.0002090290910288749,0.00042894770585762094,0.0005445035561722295,0.001275628115342515,0.001092944306646949,0.00030231600222178825,0.0005455915793579492,0.0007635699328378388,0.0016197185828895364,0.0014798820661042445,0.00046932144304123697,0.0009969414371936926,0.0010843790869013632
3,0.0005626231,0.000517737,0.00018092665,0.00035269294,0.0004405372,0.001125291,0.0010355706,0.00036188678,0.0007054483,0.0008810631,0.0016879778,0.0015532972,0.0005428205,0.0010582372,0.0013216987,0.0022505699,0.0020710449,0.00072374643,0.0014109866,0.0017621395,0.0028132931,0.0025889291,0.0009047205,0.0017639801,0.0022028352,0.000439356958525098,0.00037994246686276956,9.082907572537295e-05,0.0001928373582828871,0.0003132237344863137,0.0009225101307825012,0.0008711627655132505,0.00018106263617270749,0.00044123608616581235,0.0006449600440306622,0.001310256062986041,0.0009811898696024082,0.0003030373310893333,0.00062657928549968,0.0007899301945711683,0.0018522367885518418,0.0015910328949052216,0.0004373474526941239,0.0008003346525044271,0.0011305409904007243,0.0023627247351803073,0.00217839136287496,0.0006800664700146242,0.0014433221660787165,0.0015903936847199147
4,0.00075016194,0.00069035694,0.00024127186,0.000470326,0.00058740814,0.0015003601,0.0013806934,0.00048258147,0.00094070716,0.0011748403,0.0022505699,0.0020710449,0.00072374643,0.0014109866,0.0017621395,0.0030008159,0.0027615088,0.0009651107,0.0018813706,0.0023494866,0.0037510502,0.0034518982,0.0012063714,0.0023518903,0.0029370403,0.0006029288700252009,0.0005192314682386588,0.00012493624073216933,0.00026453597987727084,0.0004288354837429082,0.0012658641222184459,0.0011924059936784734,0.00025080987821703886,0.0006091790292478202,0.0008835130119708018,0.0017963323133727343,0.001343727330687583,0.0004155935101808634,0.0008734010775321573,0.0010927382050900985,0.0025453648220377686,0.0022074568335674824,0.0005973952210692836,0.0010985297929764874,0.0015505403145410254,0.0032524934835248187,0.0029946206812908943,0.0009310294126567474,0.0019720179433695513,0.0021924453899207683
5,0.00093775697,0.0008629313,0.0003015504,0.0005877663,0.00073418097,0.001875453,0.0017258881,0.00060315273,0.0011759225,0.0014685931,0.0028132931,0.0025889291,0.0009047205,0.0017639801,0.0022028352,0.0037510502,0.0034518982,0.0012063714,0.0023518903,0.0029370403,0.0046887584,0.0043148766,0.0015079535,0.002939901,0.0036711972,0.000765947649692804,0.0006582607004634857,0.00015887797153258277,0.00033592089358817857,0.000544512671212657,0.0016089117560838038,0.001509091537138062,0.00032071608525565884,0.0007736029155070518,0.0011223915999731755,0.002274870867441663,0.0017033561172094965,0.0005259215872349874,0.0011086455821443313,0.001386372638195884,0.003245237788458592,0.002798568208365105,0.0007547755645357088,0.0014102867901298732,0.0019741061587829393,0.004150951197127358,0.0038105342145766893,0.0011800479320175107,0.0025017216244692902,0.0027907603798301085
6,0.001125291,0.0010355706,0.00036188678,0.0007054483,0.0008810631,0.0022505699,0.0020710449,0.00072374643,0.0014109866,0.0017621395,0.0033758858,0.0031066875,0.0010858048,0.0021167346,0.0026432876,0.004501212,0.004142276,0.0014477015,0.0028224138,0.0035245586,0.005626467,0.0051778285,0.0018095615,0.0035278648,0.0044055856,0.0009053308849543997,0.0007767148140091391,0.0001868393867184281,0.00039563208289318535,0.0006406344525366459,0.0018915693015195412,0.0017701031800956468,0.00037868565748352414,0.0009122551037084184,0.0013204728100980312,0.00267719863833077,0.002000784745222998,0.0006181598103634549,0.0013046558013374372,0.0016295926932576813,0.0038196983243646895,0.003286401996596599,0.0008841110119028026,0.0016821924935254012,0.00233940051708854,0.004882290711643854,0.00446890294542521,0.0013858978466539855,0.002939516773605378,0.0032863317772720514
7,0.0013128255,0.0012081135,0.00042221323,0.0008230775,0.0010278609,0.0026256994,0.002416314,0.0008443849,0.0016462981,0.002056038,0.00393856,0.0036244774,0.0012666878,0.0024694744,0.003083777,0.0052514332,0.004832658,0.0016889388,0.0032926502,0.004111894,0.006564236,0.0060407757,0.002111225,0.004115825,0.0051398026,0.0010731338093721544,0.0009233457138550514,0.00022020996971909313,0.0004672748533033521,0.0007552499679089105,0.002227168223721887,0.0021035255656394343,0.0004478527326458844,0.0010803805034093083,0.0015556608289960777,0.0031575355617951832,0.002355100344057035,0.0007289447015446382,0.0015500817414286115,0.001921376945371379,0.0045033193638073675,0.0038717932992704046,0.0010374061148484214,0.001983381477473279,0.002759903900443086,0.005773803279709945,0.005273565300932138,0.0016309866955783385,0.0034496952191794884,0.003902916355964172
8,0.0015003601,0.0013806934,0.00048258147,0.00094070716,0.0011748403,0.0030008159,0.0027615088,0.0009651107,0.0018813706,0.0023494866,0.004501212,0.004142276,0.0014477015,0.0028224138,0.0035245586,0.006001607,0.0055229673,0.0019301794,0.0037629802,0.0046993624,0.0075019924,0.0069037527,0.0024127674,0.0047037853,0.005874045,0.0012364410797047148,0.0010743420049414375,0.0002514342717191508,0.0005390395189431649,0.0008691972589340331,0.0025707069656959874,0.0024222072446719103,0.0005165618968171178,0.0012427389140755624,0.0017905174911522375,0.0036362247311330018,0.002711582111289713,0.0008399567457896835,0.0017989829760238843,0.0022100894385959045,0.005186193266464113,0.004448140172788891,0.0011885428552013964,0.002262327204689471,0.0031703721293871896,0.006663782018453655,0.006079304392310123,0.0018736376080457243,0.0039527809272388945,0.004532200052763353
9,0.0016879778,0.0015532972,0.0005428205,0.0010582372,0.0013216987,0.0033758858,0.0031066875,0.0010858048,0.0021167346,0.0026432876,0.0050638514,0.0046600336,0.0016286056,0.0031750174,0.0039650477,0.0067518065,0.006213382,0.00217148,0.0042333566,0.0052866484,0.008439785,0.0077667846,0.0027144223,0.005291847,0.006608481,0.0013722714017007649,0.0012025874786377139,0.0002767254631336865,0.0005986204982087926,0.0009636332043252799,0.0028536387387975842,0.002673634621819778,0.0005734898819691255,0.001384098500911242,0.00199331532945266,0.004048244499832529,0.0030252357290579193,0.0009326625329319676,0.001997832918941333,0.0024491033378370537,0.00574499605555612,0.004936695859588518,0.0013123857215184634,0.0025198520529377626,0.0035097417573109494,0.007430404579512414,0.0067905819910992005,0.002074201175891534,0.004387591984053253,0.005043409024118177
