Frame,GT_0.25_R1,GT_0.25_R2,GT_0.25_R3,GT_0.25_R4,GT_0.25_R5,GT_0.50_R1,GT_0.50_R2,GT_0.50_R3,GT_0.50_R4,GT_0.50_R5,GT_0.75_R1,GT_0.75_R2,GT_0.75_R3,GT_0.75_R4,GT_0.75_R5,GT_1.00_R1,GT_1.00_R2,GT_1.00_R3,GT_1.00_R4,GT_1.00_R5,GT_1.25_R1,GT_1.25_R2,GT_1.25_R3,GT_1.25_R4,GT_1.25_R5,Ours_0.25_R1,Ours_0.25_R2,Ours_0.25_R3,Ours_0.25_R4,Ours_0.25_R5,Ours_0.50_R1,Ours_0.50_R2,Ours_0.50_R3,Ours_0.50_R4,Ours_0.50_R5,Ours_0.75_R1,Ours_0.75_R2,Ours_0.75_R3,Ours_0.75_R4,Ours_0.75_R5,Ours_1.00_R1,Ours_1.00_R2,Ours_1.00_R3,Ours_1.00_R4,Ours_1.00_R5,Ours_1.25_R1,Ours_1.25_R2,Ours_1.25_R3,Ours_1.25_R4,Ours_1.25_R5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,39.946632,60.949577,78.281425,86.71311,76.7644,79.827,121.79734,156.38249,173.25851,153.41272,119.75238,182.68924,234.58028,259.93912,230.13457,159.65845,243.58257,312.6943,346.56433,306.80432,199.5482,304.46817,390.86145,433.25278,383.5068,153.3203340897994,149.9582936647414,114.54207305779485,164.71198133183418,163.225944758791,200.64184778519905,280.0515820529234,183.45024164783678,257.5513654954036,228.1219322876266,267.9777673583203,271.30591663521255,227.3763072372705,332.6120523694083,330.3543631881941,332.5497043338025,467.9006213071164,319.6586459976261,468.5432174988105,404.19864347286233,483.5378442671665,527.0752331774884,464.9767730074891,553.4181131747767,591.6173275967814
2,79.827,121.79734,156.38249,173.25851,153.41272,159.65845,243.58257,312.6943,346.56433,306.80432,239.41393,365.29,468.985,519.92664,460.13562,319.25415,487.13312,625.3916,693.30634,613.497,398.99594,608.9266,781.6381,866.7599,766.75885,337.78994367537945,331.99039784508955,251.5449236239231,365.0777307880993,358.9163417082141,440.63575226564996,612.9227346449493,408.95870175083127,562.0722315661375,493.0735631059237,579.4099322696048,591.3227613833817,499.0624846744019,720.8804488607889,717.1507587271451,714.1181238670607,1011.3706438356871,701.612774887756,1022.8509174197366,882.7608427016527,1068.488968538204,1150.9294650767583,1005.4492720599617,1190.990610311114,1288.142432818969
3,119.75238,182.68924,234.58028,259.93912,230.13457,239.41393,365.29,468.985,519.92664,460.13562,359.15393,547.9924,703.50073,780.0414,690.1685,478.80566,730.73346,937.9382,1040.3533,920.06287,598.44806,913.3006,1172.2651,1300.6978,1149.9668,490.3250000363016,483.150484990353,364.54336965413404,529.7498410182862,516.9800130729351,637.351784832111,889.4894033803176,596.9765542204238,816.6704113513146,712.7762877932489,836.0187780813743,855.2336410780188,725.9131527107164,1026.7654609899835,1036.7740855505792,1025.4349291914427,1455.8263926402944,1021.5984802244293,1463.6358947245744,1267.3399571901246,1531.1972065843638,1659.36389191147,1456.7283917819523,1714.7954391825137,1866.673356769714
4,159.65845,243.58257,312.6943,346.56433,306.80432,319.25415,487.13312,625.3916,693.30634,613.497,478.80566,730.73346,937.9382,1040.3533,920.06287,638.30115,974.2083,1250.4076,1387.4962,1226.5895,797.8157,1217.7448,1562.8843,1734.9711,1532.9397,672.5081026140953,658.7742798627697,498.2032865175863,724.524654420614,705.8080588907895,868.9426718319371,1212.2274468731612,819.7384914633419,1109.6808680259555,975.5183167097176,1139.678137728103,1164.8406443970325,995.643185005201,1382.1446257985347,1423.5406486893942,1394.7237176077028,1966.0114047960583,1392.861091481237,1980.7344531591784,1738.8599126441773,2049.6918526300287,2245.5756690724147,1994.3389419474815,2335.132738282267,2554.2373310005783
5,199.5482,304.46817,390.86145,433.25278,383.5068,398.99594,608.9266,781.6381,866.7599,766.75885,598.44806,913.3006,1172.2651,1300.6978,1149.9668,797.8157,1217.7448,1562.8843,1734.9711,1532.9397,997.1059,1522.2083,1953.4116,2169.5898,1915.8662,845.0494952823362,830.7089269140739,633.4297518640964,917.3662225434925,888.050354280708,1094.1826179800723,1524.8737182421007,1042.017983663392,1393.5271245666743,1235.2906511283743,1440.3816874339302,1466.5312055956285,1263.1038078837696,1736.8325410074972,1807.7438483908281,1751.3077285981276,2451.598274489478,1753.7283396634418,2478.1780743755057,2215.4219123787343,2533.9053879799726,2814.10351444845,2537.692230375071,2941.3834132980505,3237.898836494395
6,239.41393,365.29,468.985,519.92664,460.13562,478.80566,730.73346,937.9382,1040.3533,920.06287,718.0637,1095.9791,1406.6027,1561.2222,1379.767,957.25275,1461.2854,1875.2816,2082.6848,1839.3088,1196.3544,1826.6274,2343.8508,2604.631,2298.611,982.8203003481677,975.5213788126622,747.4740964082704,1077.7201944785959,1034.326186685639,1275.973993454771,1783.4211144823657,1223.6552892507962,1628.0827274133148,1447.907024950567,1676.4381431959703,1710.8400740977036,1484.402532208128,2036.94027824182,2124.768163200091,2056.450385077904,2843.9897953131203,2047.3033237204586,2863.0474530052898,2610.755509159736,2896.0238869316236,3267.2716785873986,2987.0123379092142,3461.9211730573065,3799.65491033364
7,279.3447,426.21405,547.2137,606.6213,536.8392,558.56396,852.4615,1094.1549,1213.9088,1073.3265,837.67175,1278.6493,1640.9878,1821.8695,1609.5944,1116.6912,1704.8678,2187.6292,2430.6343,2145.5566,1395.5713,2131.0298,2734.215,3040.02,2681.2644,1143.919876123372,1146.6798726900208,885.3788079732967,1270.706314976627,1207.5367413819756,1487.8869084968935,2091.5707461549487,1434.8950278920586,1912.0408799929096,1701.0228847741867,1956.7129732835938,2002.587961805157,1750.596802266661,2375.989839286861,2504.993572935042,2417.446411724458,3290.3336121851,2395.0015870829475,3302.4006569611424,3075.9514869875475,3304.71958140544,3810.841928271275,3540.726841276088,4073.7654685322177,4474.712708965723
8,319.25415,487.13312,625.3916,693.30634,613.497,638.30115,974.2083,1250.4076,1387.4962,1226.5895,957.25275,1461.2854,1875.2816,2082.6848,1839.3088,1276.0548,1948.3619,2499.906,2778.7588,2451.6792,1594.7413,2435.4502,3124.4727,3475.8108,3063.7527,1302.0336827554247,1314.3560469524625,1022.110496700704,1462.8658988968148,1381.9053765419985,1696.6016150643604,2396.296122620155,1646.90198821183,2196.909465045983,1951.7078141783645,2237.622683379129,2290.520738989634,2016.5661353164644,2706.1399448318725,2888.169316714888,2756.70184021949,3710.4710534932888,2744.4629871735588,3735.2574892837188,3540.13152256739,3671.9976564739577,4363.234015999102,4118.205548525683,4666.067869760051,5128.319718075439
9,359.15393,547.9924,703.50073,780.0414,690.1685,718.0637,1095.9791,1406.6027,1561.2222,1379.767,1076.8461,1643.9543,2109.5408,2343.529,2069.0251,1435.4028,2191.9148,2812.2117,3127.2004,2757.7273,1793.8048,2739.8496,3514.6074,3911.8801,3446.0732,1431.3871004650425,1454.846122370993,1134.9583745808598,1620.9331243219724,1526.848926885583,1865.3988848168524,2639.8823114545553,1823.4257968709119,2434.9661950442373,2152.857426708792,2465.2921456146014,2523.8082913954536,2238.4301234681034,2976.4680006452663,3199.623539715863,3040.8907327662682,4069.1546873069965,3033.683327287171,4101.91421714562,3924.7681799422294,3953.106019348331,4811.852299172315,4602.581529021397,5149.043356131086,5639.770240752755
