Frame,GT_0.25_R1,GT_0.25_R2,GT_0.25_R3,GT_0.25_R4,GT_0.25_R5,GT_0.50_R1,GT_0.50_R2,GT_0.50_R3,GT_0.50_R4,GT_0.50_R5,GT_0.75_R1,GT_0.75_R2,GT_0.75_R3,GT_0.75_R4,GT_0.75_R5,GT_1.00_R1,GT_1.00_R2,GT_1.00_R3,GT_1.00_R4,GT_1.00_R5,GT_1.25_R1,GT_1.25_R2,GT_1.25_R3,GT_1.25_R4,GT_1.25_R5,Ours_0.25_R1,Ours_0.25_R2,Ours_0.25_R3,Ours_0.25_R4,Ours_0.25_R5,Ours_0.50_R1,Ours_0.50_R2,Ours_0.50_R3,Ours_0.50_R4,Ours_0.50_R5,Ours_0.75_R1,Ours_0.75_R2,Ours_0.75_R3,Ours_0.75_R4,Ours_0.75_R5,Ours_1.00_R1,Ours_1.00_R2,Ours_1.00_R3,Ours_1.00_R4,Ours_1.00_R5,Ours_1.25_R1,Ours_1.25_R2,Ours_1.25_R3,Ours_1.25_R4,Ours_1.25_R5
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,25.041899,47.38768,71.42425,63.335896,56.07009,49.76392,95.14094,141.84317,126.6261,112.41436,74.94291,141.98026,213.56444,190.14478,168.34737,99.345055,190.00769,285.08008,253.32074,225.44563,124.706825,237.53247,356.70996,316.42816,281.24155,94.6540151980683,102.51050400731006,76.54348691673954,103.74215940558614,107.23711282126605,123.61184499831515,148.58905944346577,118.49802495337106,170.95270456505457,151.29889386404915,177.37060915172796,177.6479592523583,151.46527815491083,237.24785938477413,211.14983719781597,202.3082962819759,300.2671686126446,211.57918579207865,322.5539637749575,254.30668274950182,302.00054664429507,311.9859564042186,318.91193171386664,346.6333548764596,381.2392741390909
2,49.76392,95.14094,141.84317,126.6261,112.41436,99.345055,190.00769,285.08008,253.32074,225.44563,149.1318,284.82874,426.21494,379.7412,337.67722,198.89574,379.80975,569.0634,506.02457,450.04587,248.75105,475.11063,710.95233,632.69635,562.346,209.38947071461598,224.9188045427212,166.96824663073966,230.21383895143188,237.13627102484406,268.0557298854173,327.24780619507266,271.68123913794784,379.41639742834303,333.9373051171749,378.25993289192223,378.7510748975764,324.19170758237004,522.1824041058087,459.7467556009316,443.56567880570555,649.7453677393886,469.00309915981296,712.8619886831481,575.1348816680138,670.8446884436725,657.66108472044,698.1791814117214,747.0627948188701,828.365741770511
3,74.94291,141.98026,213.56444,190.14478,168.34737,149.1318,284.82874,426.21494,379.7412,337.67722,224.09756,426.96893,640.09924,570.52576,506.29877,298.49213,569.86316,854.372,760.602,674.7604,373.38934,712.25464,1066.2914,949.7871,844.3644,302.1266766706517,320.2916469277561,241.60973064406565,335.05288977854394,337.8968036372313,387.0724859243298,464.2577302190402,398.34505032361926,537.3333848294562,472.32145417658484,551.2256773089659,538.863443023115,469.12384288514033,739.96676803601,672.194240667682,666.4462485617205,943.8318703816302,674.2091453723139,1016.2757524558123,818.0149822951547,969.9475607814737,991.9226537263662,1014.8454868291282,1121.543407293237,1190.4353126372057
4,99.345055,190.00769,285.08008,253.32074,225.44563,198.89574,379.80975,569.0634,506.02457,450.04587,298.49213,569.86316,854.372,760.602,674.7604,398.20276,759.82513,1138.2183,1012.8488,900.27454,497.34216,948.1192,1422.3159,1266.9922,1125.6516,412.02006237262924,445.7226220954143,328.76456156017974,457.9758722693172,453.3969226903319,532.3208650056291,625.9850048591253,531.0869341852782,733.8327791136263,635.981630054729,755.5254409624013,731.2503287216516,643.9509461666826,1025.179268825238,923.5045533093214,937.9684350889779,1286.3284629597847,933.303439559822,1419.918508261686,1170.2389782890214,1332.1814213927048,1358.8979707028714,1387.1820862316845,1491.1877361312552,1698.920917881939
5,124.706825,237.53247,356.70996,316.42816,281.24155,248.75105,475.11063,710.95233,632.69635,562.346,373.38934,712.25464,1066.2914,949.7871,844.3644,497.34216,948.1192,1422.3159,1266.9922,1125.6516,622.0033,1186.9312,1778.1576,1583.1233,1408.5382,512.7898619481226,565.56637318661,420.7892632918134,578.7319113856622,578.8456845260433,667.49150025223,787.7849493208355,671.3981125960333,947.0400517908336,804.2348426703852,931.1386574235191,917.4108756036766,815.8781587429164,1298.534063972436,1164.1637634321726,1177.8312217530784,1603.5341129623218,1191.2851917357302,1744.202400937267,1461.8998527420601,1663.422674458644,1682.848811122123,1801.646952459838,1955.9531698117155,2204.5789256589414
6,149.1318,284.82874,426.21494,379.7412,337.67722,298.49213,569.86316,854.372,760.602,674.7604,448.01236,854.2578,1280.6783,1141.3942,1012.8488,597.16705,1138.1726,1708.3099,1519.9473,1349.8634,746.6187,1421.1735,2136.3755,1902.1333,1688.1348,582.6703579673168,672.3381005357464,493.6067412991796,670.6550156122,668.7203565420778,785.7065036537242,914.3705543859903,820.8033595747751,1100.108156387164,935.4991040078382,1084.6390494305967,1073.76938973181,968.5934670608316,1522.6859376125224,1378.4847461869235,1386.77509614597,1858.6764509451643,1424.1161165455558,2038.3307924803546,1698.9919340343163,1904.2332326899298,2099.693106957397,2122.0743815734227,2279.1185636646533,2521.6615010253463
7,174.24226,332.33066,498.3475,444.15097,393.3589,348.43884,664.6842,996.35223,886.1542,787.4489,522.90955,995.3241,1493.8772,1331.4248,1182.4072,696.5578,1327.2664,1995.7662,1773.2681,1574.8292,871.3484,1658.4318,2495.1648,2219.9094,1968.6451,697.0442601288318,762.9309815434323,587.8287048565226,777.5524481455279,797.2939777374843,912.6432375330969,1089.1702558653496,961.2782774296817,1274.970595457205,1138.2545679408884,1281.3547327775675,1255.9687151228275,1141.9910350996395,1776.0711375572391,1659.3915452936592,1690.6031473858827,2158.685474295045,1698.7015099843738,2389.760940362027,1973.2959849007339,2166.8563709107448,2519.899660518493,2549.3753412939504,2633.7576605727404,2957.678119842988
8,198.89574,379.80975,569.0634,506.02457,450.04587,398.20276,759.82513,1138.2183,1012.8488,900.27454,597.16705,1138.1726,1708.3099,1519.9473,1349.8634,795.7886,1516.52,2279.2698,2028.5309,1800.0692,995.87244,1896.5354,2849.864,2539.1936,2251.3945,814.2579809928903,866.8985614095607,701.3109399375845,880.0219746674978,929.5475266614302,1029.3135343760732,1255.41211133941,1094.4057562964756,1485.712779442803,1294.0576162736343,1488.7047944498818,1453.6563334831424,1329.9861673907435,2027.245970334727,1873.4797214763971,1885.9297021494267,2477.442931574471,1954.598093084044,2757.5577864829133,2333.800334976138,2460.0028089162774,2852.2123663030843,2938.495955251256,3086.3367160451035,3293.3348593954024
9,224.09756,426.96893,640.09924,570.52576,506.29877,448.01236,854.2578,1280.6783,1141.3942,1012.8488,672.2927,1280.13,1921.5773,1711.3716,1520.0844,895.93335,1705.5908,2568.1655,2282.7883,2026.0632,1120.7393,2130.595,3206.8254,2852.8801,2532.088,906.2486673279117,972.6790720866666,771.2176589583896,995.9497558973416,1033.1549771496232,1136.7542942425239,1386.8323745278908,1219.3388787614851,1633.5984365398494,1446.3275532038447,1633.379935890372,1597.9352114882345,1480.3254499404375,2222.0266465846553,2058.49392832515,2042.5227414964904,2790.307138902026,2191.267654674848,2992.0773364035385,2637.5433314656857,2660.2877444773944,3037.219353047734,3277.168893339266,3414.1711075789726,3639.955561481741
