Frame,GT_1 mm_R1,GT_1 mm_R2,GT_1 mm_R3,GT_1 mm_R4,GT_1 mm_R5,GT_2 mm_R1,GT_2 mm_R2,GT_2 mm_R3,GT_2 mm_R4,GT_2 mm_R5,GT_3 mm_R1,GT_3 mm_R2,GT_3 mm_R3,GT_3 mm_R4,GT_3 mm_R5,GT_4 mm_R1,GT_4 mm_R2,GT_4 mm_R3,GT_4 mm_R4,GT_4 mm_R5,GT_5 mm_R1,GT_5 mm_R2,GT_5 mm_R3,GT_5 mm_R4,GT_5 mm_R5,Ours_1 mm_R1,Ours_1 mm_R2,Ours_1 mm_R3,Ours_1 mm_R4,Ours_1 mm_R5,Ours_2 mm_R1,Ours_2 mm_R2,Ours_2 mm_R3,Ours_2 mm_R4,Ours_2 mm_R5,Ours_3 mm_R1,Ours_3 mm_R2,Ours_3 mm_R3,Ours_3 mm_R4,Ours_3 mm_R5,Ours_4 mm_R1,Ours_4 mm_R2,Ours_4 mm_R3,Ours_4 mm_R4,Ours_4 mm_R5,Ours_5 mm_R1,Ours_5 mm_R2,Ours_5 mm_R3,Ours_5 mm_R4,Ours_5 mm_R5
0,0.0322236846950858,0.030414307239335265,0.03014112306873937,0.03097056498861603,0.030908556416037486,0.0322236846950858,0.030414307239335265,0.03014112306873937,0.03097056498861603,0.030908556416037486,0.0322236846950858,0.030414307239335265,0.03014112306873937,0.03097056498861603,0.030908556416037486,0.0322236846950858,0.030414307239335265,0.03014112306873937,0.03097056498861603,0.030908556416037486,0.0322236846950858,0.030414307239335265,0.03014112306873937,0.03097056498861603,0.030908556416037486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,45.81608284752475,60.246750104146905,73.22441100986414,88.3223717247783,74.27803135983447,91.5208106084215,120.56119920612109,146.43255023732726,176.63823178724058,148.46385289209658,137.29562761412404,180.76671128436305,219.59888639909698,264.9522873256021,222.66828980449142,183.01188767740916,241.0382796901132,292.76864236165466,353.1166250493267,296.8995769302697,228.75279142843425,301.3104675532069,365.93414017390313,441.54222572465574,371.05230346772066,153.3203340897994,149.9582936647414,114.54207305779485,164.71198133183418,163.225944758791,200.64184778519905,280.0515820529234,183.45024164783678,257.5513654954036,228.1219322876266,267.9777673583203,271.30591663521255,227.3763072372705,332.6120523694083,330.3543631881941,332.5497043338025,467.9006213071164,319.6586459976261,468.5432174988105,404.19864347286233,483.5378442671665,527.0752331774884,464.9767730074891,553.4181131747767,591.6173275967814
2,91.5208106084215,120.56119920612109,146.43255023732726,176.63823178724058,148.46385289209658,183.01188767740916,241.0382796901132,292.76864236165466,353.1166250493267,296.8995769302697,274.51376729982235,361.5744091507762,439.0820692850257,529.8872041355395,445.24551984359346,365.9904173067369,482.1006558687196,585.429520022474,706.4737611191739,593.6307630198091,457.446244570534,602.5184678146796,731.7722690638687,883.4460112458553,741.916487466269,337.78994367537945,331.99039784508955,251.5449236239231,365.0777307880993,358.9163417082141,440.63575226564996,612.9227346449493,408.95870175083127,562.0722315661375,493.0735631059237,579.4099322696048,591.3227613833817,499.0624846744019,720.8804488607889,717.1507587271451,714.1181238670607,1011.3706438356871,701.612774887756,1022.8509174197366,882.7608427016527,1068.488968538204,1150.9294650767583,1005.4492720599617,1190.990610311114,1288.142432818969
3,137.29562761412404,180.76671128436305,219.59888639909698,264.9522873256021,222.66828980449142,274.51376729982235,361.5744091507762,439.0820692850257,529.8872041355395,445.24551984359346,411.7125883801952,542.2836436244307,658.6408627763614,794.9392903165456,667.7768684093649,548.8816778845678,723.0948564473734,878.1431586860804,1060.221396693351,890.2206814373211,686.078333693035,903.7971234019643,1097.6129103009316,1325.664512055145,1112.5939483463205,490.3250000363016,483.150484990353,364.54336965413404,529.7498410182862,516.9800130729351,637.351784832111,889.4894033803176,596.9765542204238,816.6704113513146,712.7762877932489,836.0187780813743,855.2336410780188,725.9131527107164,1026.7654609899835,1036.7740855505792,1025.4349291914427,1455.8263926402944,1021.5984802244293,1463.6358947245744,1267.3399571901246,1531.1972065843638,1659.36389191147,1456.7283917819523,1714.7954391825137,1866.673356769714
4,183.01188767740916,241.0382796901132,292.76864236165466,353.1166250493267,296.8995769302697,365.9904173067369,482.1006558687196,585.429520022474,706.4737611191739,593.6307630198091,548.8816778845678,723.0948564473734,878.1431586860804,1060.221396693351,890.2206814373211,731.8050100338304,964.0289023554197,1170.7522866800712,1414.1936213960162,1186.703534894896,914.6218240342516,1204.9002857423984,1463.4099925176556,1768.254347494855,1483.0089688692078,672.5081026140953,658.7742798627697,498.2032865175863,724.524654420614,705.8080588907895,868.9426718319371,1212.2274468731612,819.7384914633419,1109.6808680259555,975.5183167097176,1139.678137728103,1164.8406443970325,995.643185005201,1382.1446257985347,1423.5406486893942,1394.7237176077028,1966.0114047960583,1392.861091481237,1980.7344531591784,1738.8599126441773,2049.6918526300287,2245.5756690724147,1994.3389419474815,2335.132738282267,2554.2373310005783
5,228.75279142843425,301.3104675532069,365.93414017390313,441.54222572465574,371.05230346772066,457.446244570534,602.5184678146796,731.7722690638687,883.4460112458553,741.916487466269,686.078333693035,903.7971234019643,1097.6129103009316,1325.664512055145,1112.5939483463205,914.6218240342516,1204.9002857423984,1463.4099925176556,1768.254347494855,1483.0089688692078,1143.1190021255802,1506.0530335460714,1829.2137405561652,2211.3703710950213,1853.2268978520956,845.0494952823362,830.7089269140739,633.4297518640964,917.3662225434925,888.050354280708,1094.1826179800723,1524.8737182421007,1042.017983663392,1393.5271245666743,1235.2906511283743,1440.3816874339302,1466.5312055956285,1263.1038078837696,1736.8325410074972,1807.7438483908281,1751.3077285981276,2451.598274489478,1753.7283396634418,2478.1780743755057,2215.4219123787343,2533.9053879799726,2814.10351444845,2537.692230375071,2941.3834132980505,3237.898836494395
6,274.51376729982235,361.5744091507762,439.0820692850257,529.8872041355395,445.24551984359346,548.8816778845678,723.0948564473734,878.1431586860804,1060.221396693351,890.2206814373211,823.2224198011467,1084.474325583163,1317.0486623515092,1591.1916871586166,1334.8439019172924,1097.403716291286,1445.915092324497,1756.0469253822023,2122.5255473698426,1779.2194412231956,1371.558816879853,1807.1970631392167,2194.950352768832,2654.630981282992,2223.249466173969,982.8203003481677,975.5213788126622,747.4740964082704,1077.7201944785959,1034.326186685639,1275.973993454771,1783.4211144823657,1223.6552892507962,1628.0827274133148,1447.907024950567,1676.4381431959703,1710.8400740977036,1484.402532208128,2036.94027824182,2124.768163200091,2056.450385077904,2843.9897953131203,2047.3033237204586,2863.0474530052898,2610.755509159736,2896.0238869316236,3267.2716785873986,2987.0123379092142,3461.9211730573065,3799.65491033364
7,320.2711564517822,421.8231375477997,512.2363565161996,618.197248023206,519.4591100142208,640.3374217330801,843.5708089278234,1024.392895101175,1237.1603693455493,1038.4738930813244,960.3293839494273,1265.1585783144483,1536.5508408578846,1856.7947389218816,1557.0882920438826,1280.1686230970327,1686.8135904110707,2048.6787175202894,2477.3749797486043,2075.2627469005342,1599.9281158245979,2108.258554077535,2560.6789200230146,3098.415472252624,2593.0360695871937,1143.919876123372,1146.6798726900208,885.3788079732967,1270.706314976627,1207.5367413819756,1487.8869084968935,2091.5707461549487,1434.8950278920586,1912.0408799929096,1701.0228847741867,1956.7129732835938,2002.587961805157,1750.596802266661,2375.989839286861,2504.993572935042,2417.446411724458,3290.3336121851,2395.0015870829475,3302.4006569611424,3075.9514869875475,3304.71958140544,3810.841928271275,3540.726841276088,4073.7654685322177,4474.712708965723
8,365.9904173067369,482.1006558687196,585.429520022474,706.4737611191739,593.6307630198091,731.8050100338304,964.0289023554197,1170.7522866800712,1414.1936213960162,1186.703534894896,1097.403716291286,1445.915092324497,1756.0469253822023,2122.5255473698426,1779.2194412231956,1462.896850439583,1927.7010011462542,2341.305708032136,2832.1767975055714,2371.176619439293,1828.1878519224774,2409.3426377009564,2926.4038231055492,3542.6142594536627,2962.6195353636153,1302.0336827554247,1314.3560469524625,1022.110496700704,1462.8658988968148,1381.9053765419985,1696.6016150643604,2396.296122620155,1646.90198821183,2196.909465045983,1951.7078141783645,2237.622683379129,2290.520738989634,2016.5661353164644,2706.1399448318725,2888.169316714888,2756.70184021949,3710.4710534932888,2744.4629871735588,3735.2574892837188,3540.13152256739,3671.9976564739577,4363.234015999102,4118.205548525683,4666.067869760051,5128.319718075439
9,411.7125883801952,542.2836436244307,658.6408627763614,794.9392903165456,667.7768684093649,823.2224198011467,1084.474325583163,1317.0486623515092,1591.1916871586166,1334.8439019172924,1234.4736765005835,1626.5595154283756,1975.5885601947275,2388.572968142201,2001.2011498137547,1645.558381028508,2168.529137941565,2633.887005214558,3187.217738477779,2666.976814670121,2056.4066439444478,2710.3836603334767,3292.2325799038713,3987.1639399025994,3331.9955443239614,1431.3871004650425,1454.846122370993,1134.9583745808598,1620.9331243219724,1526.848926885583,1865.3988848168524,2639.8823114545553,1823.4257968709119,2434.9661950442373,2152.857426708792,2465.2921456146014,2523.8082913954536,2238.4301234681034,2976.4680006452663,3199.623539715863,3040.8907327662682,4069.1546873069965,3033.683327287171,4101.91421714562,3924.7681799422294,3953.106019348331,4811.852299172315,4602.581529021397,5149.043356131086,5639.770240752755
