Frame,GT_1 mm_R1,GT_1 mm_R2,GT_1 mm_R3,GT_1 mm_R4,GT_1 mm_R5,GT_2 mm_R1,GT_2 mm_R2,GT_2 mm_R3,GT_2 mm_R4,GT_2 mm_R5,GT_3 mm_R1,GT_3 mm_R2,GT_3 mm_R3,GT_3 mm_R4,GT_3 mm_R5,GT_4 mm_R1,GT_4 mm_R2,GT_4 mm_R3,GT_4 mm_R4,GT_4 mm_R5,GT_5 mm_R1,GT_5 mm_R2,GT_5 mm_R3,GT_5 mm_R4,GT_5 mm_R5,Ours_1 mm_R1,Ours_1 mm_R2,Ours_1 mm_R3,Ours_1 mm_R4,Ours_1 mm_R5,Ours_2 mm_R1,Ours_2 mm_R2,Ours_2 mm_R3,Ours_2 mm_R4,Ours_2 mm_R5,Ours_3 mm_R1,Ours_3 mm_R2,Ours_3 mm_R3,Ours_3 mm_R4,Ours_3 mm_R5,Ours_4 mm_R1,Ours_4 mm_R2,Ours_4 mm_R3,Ours_4 mm_R4,Ours_4 mm_R5,Ours_5 mm_R1,Ours_5 mm_R2,Ours_5 mm_R3,Ours_5 mm_R4,Ours_5 mm_R5
0,0.028285229867567686,0.027724049176762,0.026839654604371432,0.027947284684618857,0.027196374789243784,0.028285229867567686,0.027724049176762,0.026839654604371432,0.027947284684618857,0.027196374789243784,0.028285229867567686,0.027724049176762,0.026839654604371432,0.027947284684618857,0.027196374789243784,0.028285229867567686,0.027724049176762,0.026839654604371432,0.027947284684618857,0.027196374789243784,0.028285229867567686,0.027724049176762,0.026839654604371432,0.027947284684618857,0.027196374789243784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28.795252673528374,46.20383683265524,65.45623121785304,63.428435525453295,53.08934990742493,57.4611317829173,92.64805378475238,131.5904695668113,126.34902784423399,107.24063546859082,86.02005950962462,138.8542354110243,197.26628184849787,188.77744273100848,160.1518425470803,114.8062893796357,185.49407650664722,263.62127957414066,252.32203954851371,214.40451926459843,143.38098462743548,231.18738837691146,328.0887093456382,315.49469566376865,267.420367740386,94.6540151980683,102.51050400731006,76.54348691673954,103.74215940558614,107.23711282126605,123.61184499831515,148.58905944346577,118.49802495337106,170.95270456505457,151.29889386404915,177.37060915172796,177.6479592523583,151.46527815491083,237.24785938477413,211.14983719781597,202.3082962819759,300.2671686126446,211.57918579207865,322.5539637749575,254.30668274950182,302.00054664429507,311.9859564042186,318.91193171386664,346.6333548764596,381.2392741390909
2,57.4611317829173,92.64805378475238,131.5904695668113,126.34902784423399,107.24063546859082,114.8062893796357,185.49407650664722,263.62127957414066,252.32203954851371,214.40451926459843,172.04477853708008,277.8979832368577,392.2419223607291,378.49445688542164,319.5202039887934,229.2902836895705,369.87514250086303,521.0406958697714,504.69815175294696,427.78097197814037,287.0277242164025,462.64798470773417,654.1859557720796,631.6815297561303,532.69545697144,209.38947071461598,224.9188045427212,166.96824663073966,230.21383895143188,237.13627102484406,268.0557298854173,327.24780619507266,271.68123913794784,379.41639742834303,333.9373051171749,378.25993289192223,378.7510748975764,324.19170758237004,522.1824041058087,459.7467556009316,443.56567880570555,649.7453677393886,469.00309915981296,712.8619886831481,575.1348816680138,670.8446884436725,657.66108472044,698.1791814117214,747.0627948188701,828.365741770511
3,86.02005950962462,138.8542354110243,197.26628184849787,188.77744273100848,160.1518425470803,172.04477853708008,277.8979832368577,392.2419223607291,378.49445688542164,319.5202039887934,258.1152611033384,415.9975286666238,588.3169544448526,567.4608127005117,481.08864200854987,344.51156953154145,555.0919314776295,784.9426377276906,757.1921116410122,640.0879845541006,429.8020332091497,693.3302050947618,983.8838656580547,946.085550959678,801.9372167697103,302.1266766706517,320.2916469277561,241.60973064406565,335.05288977854394,337.8968036372313,387.0724859243298,464.2577302190402,398.34505032361926,537.3333848294562,472.32145417658484,551.2256773089659,538.863443023115,469.12384288514033,739.96676803601,672.194240667682,666.4462485617205,943.8318703816302,674.2091453723139,1016.2757524558123,818.0149822951547,969.9475607814737,991.9226537263662,1014.8454868291282,1121.543407293237,1190.4353126372057
4,114.8062893796357,185.49407650664722,263.62127957414066,252.32203954851371,214.40451926459843,229.2902836895705,369.87514250086303,521.0406958697714,504.69815175294696,427.78097197814037,344.51156953154145,555.0919314776295,784.9426377276906,757.1921116410122,640.0879845541006,459.4706428668845,739.9650204650045,1048.9524045856772,1009.4499816957702,854.368261037187,574.1911017792644,925.818056158631,1307.878175181045,1261.8426098287912,1070.3979004470202,412.02006237262924,445.7226220954143,328.76456156017974,457.9758722693172,453.3969226903319,532.3208650056291,625.9850048591253,531.0869341852782,733.8327791136263,635.981630054729,755.5254409624013,731.2503287216516,643.9509461666826,1025.179268825238,923.5045533093214,937.9684350889779,1286.3284629597847,933.303439559822,1419.918508261686,1170.2389782890214,1332.1814213927048,1358.8979707028714,1387.1820862316845,1491.1877361312552,1698.920917881939
5,143.38098462743548,231.18738837691146,328.0887093456382,315.49469566376865,267.420367740386,287.0277242164025,462.64798470773417,654.1859557720796,631.6815297561303,532.69545697144,429.8020332091497,693.3302050947618,983.8838656580547,946.085550959678,801.9372167697103,574.1911017792644,925.818056158631,1307.878175181045,1261.8426098287912,1070.3979004470202,718.2649837512599,1157.9658570446766,1639.3760923090638,1579.9345782908997,1338.9021319206568,512.7898619481226,565.56637318661,420.7892632918134,578.7319113856622,578.8456845260433,667.49150025223,787.7849493208355,671.3981125960333,947.0400517908336,804.2348426703852,931.1386574235191,917.4108756036766,815.8781587429164,1298.534063972436,1164.1637634321726,1177.8312217530784,1603.5341129623218,1191.2851917357302,1744.202400937267,1461.8998527420601,1663.422674458644,1682.848811122123,1801.646952459838,1955.9531698117155,2204.5789256589414
6,172.04477853708008,277.8979832368577,392.2419223607291,378.49445688542164,319.5202039887934,344.51156953154145,555.0919314776295,784.9426377276906,757.1921116410122,640.0879845541006,517.0480152255797,833.1683279768511,1176.2551685782885,1136.2108473482217,962.359393954378,689.50854783101,1111.4280384902327,1575.5800909815302,1516.5435798507376,1285.7485351194343,861.8734626583154,1390.115678443408,1973.131160675634,1899.1755931432874,1602.2354862560317,582.6703579673168,672.3381005357464,493.6067412991796,670.6550156122,668.7203565420778,785.7065036537242,914.3705543859903,820.8033595747751,1100.108156387164,935.4991040078382,1084.6390494305967,1073.76938973181,968.5934670608316,1522.6859376125224,1378.4847461869235,1386.77509614597,1858.6764509451643,1424.1161165455558,2038.3307924803546,1698.9919340343163,1904.2332326899298,2099.693106957397,2122.0743815734227,2279.1185636646533,2521.6615010253463
7,200.69190552002107,323.5416821797112,458.9061137883728,441.8194192001105,374.2247997694875,401.89765737722774,647.4946988918557,912.9800925520366,883.3504854233508,747.1864130058357,603.4026983717836,972.2101266387468,1379.1224141170435,1324.8963077918913,1124.7340844768378,804.3301711414078,1297.9094650779666,1839.6628788090507,1772.1715317386938,1496.858576312692,1005.4627334988427,1622.2326051437844,2307.7806039875563,2217.5396460333745,1865.5282411843443,697.0442601288318,762.9309815434323,587.8287048565226,777.5524481455279,797.2939777374843,912.6432375330969,1089.1702558653496,961.2782774296817,1274.970595457205,1138.2545679408884,1281.3547327775675,1255.9687151228275,1141.9910350996395,1776.0711375572391,1659.3915452936592,1690.6031473858827,2158.685474295045,1698.7015099843738,2389.760940362027,1973.2959849007339,2166.8563709107448,2519.899660518493,2549.3753412939504,2633.7576605727404,2957.678119842988
8,229.2902836895705,369.87514250086303,521.0406958697714,504.69815175294696,427.78097197814037,459.4706428668845,739.9650204650045,1048.9524045856772,1009.4499816957702,854.368261037187,689.50854783101,1111.4280384902327,1575.5800909815302,1516.5435798507376,1285.7485351194343,919.3324642672732,1483.7359636513947,2107.0851151134825,2025.723776032645,1708.5341633002026,1149.2006728267593,1852.9856407594266,2638.2716921402907,2539.095831861182,2131.754136678798,814.2579809928903,866.8985614095607,701.3109399375845,880.0219746674978,929.5475266614302,1029.3135343760732,1255.41211133941,1094.4057562964756,1485.712779442803,1294.0576162736343,1488.7047944498818,1453.6563334831424,1329.9861673907435,2027.245970334727,1873.4797214763971,1885.9297021494267,2477.442931574471,1954.598093084044,2757.5577864829133,2333.800334976138,2460.0028089162774,2852.2123663030843,2938.495955251256,3086.3367160451035,3293.3348593954024
9,258.1152611033384,415.9975286666238,588.3169544448526,567.4608127005117,481.08864200854987,517.0480152255797,833.1683279768511,1176.2551685782885,1136.2108473482217,962.359393954378,775.6622879647438,1250.9972786728838,1775.0575294887751,1708.524865487404,1443.7392334323017,1034.0483307640998,1668.4576365659277,2373.28853817943,2283.2483571513203,1919.3193663339443,1293.0847238273739,2082.905078827306,2978.22716935461,2860.104418895528,2398.37803760938,906.2486673279117,972.6790720866666,771.2176589583896,995.9497558973416,1033.1549771496232,1136.7542942425239,1386.8323745278908,1219.3388787614851,1633.5984365398494,1446.3275532038447,1633.379935890372,1597.9352114882345,1480.3254499404375,2222.0266465846553,2058.49392832515,2042.5227414964904,2790.307138902026,2191.267654674848,2992.0773364035385,2637.5433314656857,2660.2877444773944,3037.219353047734,3277.168893339266,3414.1711075789726,3639.955561481741
