Max of Mean Displacement
Condition,1 mm,2 mm,3 mm,4 mm,5 mm
GT R1,1.0223,2.0445,3.0668,4.0890,5.1113
Ours R1,0.9923,2.0292,3.0614,4.1337,5.0591
GT R2,0.9299,1.8598,2.7897,3.7196,4.6495
Ours R2,0.8873,1.8757,2.7185,3.6182,4.4792
GT R3,0.3704,0.7407,1.1111,1.4815,1.8518
Ours R3,0.3264,0.6374,0.9902,1.2201,1.8089
GT R4,0.6201,1.2402,1.8603,2.4804,3.1004
Ours R4,0.6090,1.1408,1.8595,2.3604,2.9865
GT R5,0.8096,1.6193,2.4289,3.2386,4.0482
Ours R5,0.7227,1.4383,2.2536,2.9764,3.5795

Max of Mean Stress
Condition,1 mm,2 mm,3 mm,4 mm,5 mm
GT R1,7242.10,14421.50,21544.54,28614.31,35631.86
Ours R1,9403.79,15524.45,23214.73,27486.62,31596.39
GT R2,9564.11,19094.93,28596.56,38079.03,47557.23
Ours R2,13484.23,23255.55,35854.76,62278.04,52134.44
GT R3,11636.58,23333.42,35108.03,46976.26,58963.86
Ours R3,22171.41,31558.91,55263.64,59275.00,78278.70
GT R4,14227.72,28846.31,43859.89,59271.85,75081.48
Ours R4,22976.88,34435.77,51154.97,68169.95,80727.92
GT R5,11698.19,23192.44,34487.76,45615.09,56574.44
Ours R5,17769.61,32078.87,48996.01,59343.76,75807.20

Max of Median Displacement
Condition,1 mm,2 mm,3 mm,4 mm,5 mm
GT R1,1.0228,2.0456,3.0685,4.0913,5.1141
Ours R1,0.9995,2.0401,3.0735,4.1158,5.0794
GT R2,0.9559,1.9117,2.8676,3.8235,4.7793
Ours R2,0.9216,1.9255,2.7915,3.7310,4.7497
GT R3,0.3019,0.6038,0.9058,1.2077,1.5096
Ours R3,0.2750,0.5066,0.7893,1.0040,1.4581
GT R4,0.5963,1.1926,1.7888,2.3851,2.9814
Ours R4,0.6394,1.1142,1.8474,2.4159,2.9988
GT R5,0.8210,1.6420,2.4630,3.2840,4.1050
Ours R5,0.7239,1.3998,2.2501,3.0212,3.5071

Max of Median Stress
Condition,1 mm,2 mm,3 mm,4 mm,5 mm
GT R1,4529.55,8974.38,13548.59,18191.57,22931.43
Ours R1,6351.82,9821.36,15503.86,17302.50,21578.41
GT R2,7358.89,14612.74,21762.69,29150.54,36426.38
Ours R2,9239.21,14852.50,24987.90,37491.82,33686.92
GT R3,10330.53,20657.29,31092.15,41901.37,52270.62
Ours R3,14945.43,23347.73,37524.16,44997.86,58415.04
GT R4,10385.81,21662.43,33824.36,46460.37,58526.05
Ours R4,16119.58,26458.74,39689.56,52128.26,63582.00
GT R5,8238.25,16287.86,24282.23,32566.25,40606.77
Ours R5,11779.82,20953.27,33084.50,42130.40,51618.05

