Max of Mean Displacement (mm)
Condition,0.25,0.50,0.75,1.00,1.25
GT R1,0.029551,0.059103,0.088654,0.118205,0.147756
Ours R1,0.028471,0.058223,0.087842,0.118608,0.145162
GT R2,0.026611,0.053222,0.079833,0.106444,0.133054
Ours R2,0.025460,0.053821,0.078003,0.103816,0.128523
GT R3,0.010799,0.021597,0.032396,0.043194,0.053993
Ours R3,0.009365,0.018288,0.028411,0.035009,0.051903
GT R4,0.018672,0.037343,0.056015,0.074686,0.093358
Ours R4,0.017473,0.032734,0.053354,0.067728,0.085692
GT R5,0.022684,0.045368,0.068052,0.090735,0.113419
Ours R5,0.020736,0.041269,0.064664,0.085402,0.102707

Max of Mean Stress
Condition,0.25,0.50,0.75,1.00,1.25
GT R1,6317.23,12577.70,18784.11,24939.22,31046.72
Ours R1,9403.79,15524.45,23214.73,27486.62,31596.39
GT R2,9679.43,19358.16,29041.50,38730.61,48430.36
Ours R2,13484.23,23255.55,35854.76,62278.04,52134.44
GT R3,12392.85,24724.27,37010.74,49276.46,61542.14
Ours R3,22171.41,31558.91,55263.64,59275.00,78278.70
GT R4,13955.12,28283.51,42988.85,58072.58,73536.27
Ours R4,22976.88,34435.77,51154.97,68169.95,80727.92
GT R5,12125.82,24113.71,35967.56,47692.03,59298.93
Ours R5,17769.61,32078.87,48996.01,59343.76,75807.20

Max of Median Displacement (mm)
Condition,0.25,0.50,0.75,1.00,1.25
GT R1,0.029821,0.059641,0.089462,0.119282,0.149103
Ours R1,0.028678,0.058537,0.088189,0.118097,0.145745
GT R2,0.027443,0.054885,0.082328,0.109770,0.137213
Ours R2,0.026445,0.055248,0.080096,0.107053,0.136284
GT R3,0.009591,0.019182,0.028773,0.038364,0.047954
Ours R3,0.007892,0.014537,0.022648,0.028807,0.041838
GT R4,0.018698,0.037396,0.056094,0.074792,0.093490
Ours R4,0.018346,0.031969,0.053008,0.069319,0.086046
GT R5,0.023350,0.046700,0.070050,0.093400,0.116750
Ours R5,0.020771,0.040164,0.064562,0.086689,0.100630

Max of Median Stress
Condition,0.25,0.50,0.75,1.00,1.25
GT R1,3950.19,7917.22,11860.62,15816.47,19731.73
Ours R1,6351.82,9821.36,15503.86,17302.50,21578.41
GT R2,7558.27,15236.57,22870.86,30563.16,38234.96
Ours R2,9239.21,14852.50,24987.90,37491.82,33686.92
GT R3,11302.92,22388.46,33290.94,43914.97,54556.50
Ours R3,14945.43,23347.73,37524.16,44997.86,58415.04
GT R4,10214.49,20842.49,31994.29,43558.28,55610.29
Ours R4,16119.58,26458.74,39689.56,52128.26,63582.00
GT R5,8936.00,17957.30,26887.55,35692.54,44423.21
Ours R5,11779.82,20953.27,33084.50,42130.40,51618.05

